Code,Symbol,Name
11080042,RANASUG,
14520023,IMPEXFERRO,
12540545,INDOCO,
12130017,MRPL,
14070011,PRESSMN,
11320004,DWARKESH,
10670055,JBMA,
,SALSTEEL,
11080007,KOTARISUG,
15130025,NTPC,
11600096,WELENT,
13110035,ASTRAMICRO,
14090030,GUFICBIO,
12540186,INDSWFTLTD,
14590014,PAPERPROD,
13550028,GULFPETRO,
12600001,TITAN,
14080005,GRUH,
17010025,TEXINFRA,
10510004,EICHERMOT,
13540001,GREAVESCOT,
13020033,TCS,
13190705,NIITTECH,
15570003,MAHSEAMLES,
11520068,ULTRACEMCO,
13190705,NIITLTD,
17010019,3MINDIA,
15010002,CENTEXT,
14610009,APARINDS,
16030019,SUPERSPIN,
12520009,PGHH,
12120004,EXCELINDUS,
17010013,LT,
11520073,JPASSOCIAT,
12520005,TRENT,
11040106,CCL,
13020026,MPHASIS,
11540011,MURUDCERA,
11540007,KAJARIACER,
13090047,MIRCELECTR,
17040124,NDTV,
16530001,IPAPPM,
13190069,DATAMATICS,
14560019,MAGMA,
13570022,RKFORGE,
14590022,XPROINDIA,
14030012,MAHABANK,
15130047,PTC,
11140013,BIOCON,
14030067,DHANBANK,
15070050,VAIBHAVGBL,
12140039,PETRONET,
11600023,SIMPLEXINF,
15520004,MUKANDLTD,
16020005,JBFIND,
12060021,UPL,
17010016,SIL,
17040119,TVTODAY,
12120011,UNIENTER,
10560007,JTEKTINDIA,
12300008,IGL,
16610403,TVSELECT,
15560011,JAIBALAJI,
15540019,TATASTLBSL,
12150015,WELSPUNIND,
15990019,JSL,
15540009,NSIL,
13510039,BHEL,
17010049,BEML,
,BAGFILMS,
12540250,SUVEN,
14030017,UCOBANK,
11610008,NCC,
13120004,IGARASHI,
12150036,VARDHACRLC,
17020035,HINDOILEXP,
17020285,DREDGECORP,
12540082,AARTIDRUGS,
13010013,TATAELXSI,
15140018,ITI,
11580005,KANSAINER,
12630004,VSTIND,
13150010,AMARAJABAT,
10510007,SMLISUZU,
12670014,OPTOCIRCUI,
11510046,PRSMJOHNSN,
12170004,SRF,
12090005,GHCL,
12520003,GILLETTE,
,VENKEYS,
15140006,AGCNET,
13040004,HONAUT,
13010004,ZENSARTECH,
10520005,MARUTI,
16040015,INDORAMA,
17010003,CENTURYTEX,
13560002,ELECTCAST,
16510001,BATAINDIA,
11510024,RADICO,
10550001,EXIDEIND,
13020096,SUBEX,
11120005.08,GSKCONS,
12070015,JUBILANT,
10580001,AUTOAXLES,
,DRREDDY,
11080003,BANARISUG,
15580071,PSL,
13090032,NELCO,
15620008,TATAMETALI,
12030004,TIRUMALCHM,
10580007,RICOAUTO,
12540026,SANOFI,
16030029,VARDMNPOLY,
10610013,BOSCHLTD,
10640002,MUNJALSHOW,
12070037,FOSECOIND,
12540030,JBCHEPHARM,
15580014,JINDALSAW,
14590015,POLYPLEX,
10540005,HEROMOTOCO,
13570004,BHARATFORG,
,STCINDIA,
13120003,HONDAPOWER,
14060023,BAJFINANCE,
11600006,HCC,
16040009,GARDENSILK,
,RADAAN,
,DIVISLAB,
15560006,TATASTLLP,
12520018,GODREJIND,
13580002,GRAPHITE,
10670006,OMAXAUTO,
15140013,TNTELE,
